ID,Title,Study,DOI,Personal Vehicle,Public Transport,Non Motorized,Connected and Automated Vehicles,Emergency Vehicles,Air
53,Optimum transit operations during the emergency evacuations,(Song et al. 2009),10.1016/S1570-6672(08)60096-3,0,1,0,0,0,0
54,"Dynamic Traffic Assignment Evaluation of Hurricane Evacuation Strategies for the Houston-Galveston, Texas, Region",(Songchitruksa et al. 2012),10.3141/2312-11,0,0,0,0,0,0
55,Research of 3S integrated technology in emergency logistics distribution under public emergency,(Sun et al. 2010),10.1061/41139(387)432,0,0,0,0,0,0
56,Hurricane evacuation planning using public transportation,(Swamy et al. 2017),10.1016/j.seps.2016.10.009,0,1,0,0,0,0
57,Quantification of Compound Flooding over Roadway Network during Extreme Events for Planning Emergency Operations,(Tahvildari et al. 2021),doi.org/10.1061/(ASCE)NH.1527-6996.0000524,0,0,0,0,1,0
58,Routing algorithms as tools for integrating social distancing with emergency evacuation,(Tsai et al. 2021),,0,0,0,0,1,0
59,Location Routing Approach for the Humanitarian Prepositioning Problem,(Ukkusuri and Yushimito 2008),10.3141/2089-03,0,0,0,0,0,0
60,A-RESCUE: An Agent based Regional Evacuation Simulator Coupled with User Enriched Behavior,(Ukkusuri et al. 2017),10.1007/s11067-016-9323-0,1,0,0,0,0,0
61,Strategic emergency preparedness network design integrating supply and demand sides in a multi-objective approach,(Üster and Dalal 2017),10.1080/0740817X.2016.1234731,0,0,0,0,0,0
62,An Integrated Logistic Model for Predictable Disasters,(Vanajakumari et al. 2016),10.1111/poms.12533,0,0,0,0,1,0
63,Safety of users in road evacuation: Modelling and DSS for paths design of emergency vehicles,(Vitetta et al. 2009),10.2495/SDP090451,0,0,0,0,1,0
64,A stochastic programming model for emergency supply planning considering traffic congestion,(Wang and Nie 2019),10.1080/24725854.2019.1589657,0,0,0,0,1,0
65,A stochastic programming model for emergency supply planning considering transportation network mitigation and traffic congestion,(Wang and Nie 2022),10.1016/j.seps.2021.101119,0,0,0,0,1,0
66,Effectiveness of traffic management strategies at destination during emergency evacuation,(WANG et al. 2010),10.1080/19439962.2010.487784,0,0,0,0,0,0
67,Evacuation planning for disaster responses: A stochastic programming framework,(Wang et al. 2016),10.1016/j.trc.2016.05.022,1,0,0,0,0,0
68,Modeling and Analysis of Optimal Strategies for Leveraging Ride-Sourcing Services in Hurricane Evacuation,(Wang et al. 2021),10.3390/su13084444,0,1,0,0,0,0
69,A hierarchical approach to modeling hurricane disaster relief goods distribution,(Widener and Horner 2011),10.1016/j.jtrangeo.2010.10.006,0,0,0,0,1,1
70,A dartboard network cut based approach to evacuation route planning: A summary of results,(Yang et al. 2012),10.1007/978-3-642-33024-7_24,1,0,0,0,0,0
71,Modeling transit-assisted hurricane evacuation through socio-spatial networks,(Yang et al. 2020),10.1080/13658816.2020.1828590,1,1,0,0,0,0
72,Modeling transit-assisted hurricane evacuation through socio-spatial networks,(Yang et al. 2021),10.1080/13658816.2020.1828590,1,1,0,0,0,0
73,Risk reduction impact of connected vehicle technology on regional hurricane evacuations: A simulation study,(Yin et al. 2018),10.1016/j.ijdrr.2018.01.013,1,1,1,1,0,1
74,ViCTS: A novel network partition algorithm for scalable agent-based modeling of mass evacuation,(Yin et al. 2020),10.1016/j.compenvurbsys.2019.101452,0,0,0,0,0,0
75,A two-tier solution for disaster relief management,(Yusoff et al. 2013),10.1109/ISIEA.2013.6738991,1,1,0,0,0,0
76,A vehicle route planning method of two-phase large-scale crowd evacuation in typhoon relief activities,(Zhan et al. 2019),10.1155/2019/9539746,0,0,0,0,0,0
77,A dynamic evacuation model for pedestrian-vehicle mixed-flow networks,(Zhang and Chang 2014),10.1016/j.trc.2014.01.003,1,1,1,0,0,0
78,Route selection for emergency logistics management: A bio-inspired algorithm,(Zhang et al. 2013a),10.1016/j.ssci.2012.12.003,0,0,0,0,0,0
79,Megaregion Network Simulation for Evacuation Analysis,(Zhang et al. 2013b),10.3141/2397-19,0,0,0,0,0,0
80,Integration of a cell transmission model and macroscopic fundamental diagram: Network aggregation for dynamic traffic models,(Zhang et al. 2015),10.1016/j.trc.2015.03.040,0,0,0,0,0,0
81,Effects of shadow evacuation on megaregion evacuations,(Zhang et al. 2020),10.1016/j.trd.2020.102295,1,0,0,0,0,0
82,Optimizing one-way traffic network reconfiguration and lane-based non-diversion routing for evacuation,(Zhao et al. 2016),10.1002/atr.1362,0,0,0,0,0,0
83,An intelligent system for emergency traffic routing,(Zhou and Liu 2011),10.1007/978-3-642-23223-7_55,0,0,0,0,0,0
84,Hurricane Evacuation Modeling Using Behavior Models and Scenario-Driven Agent-based Simulations,(Zhu et al. 2018),10.1016/j.procs.2018.04.074,0,0,0,0,0,0
85,Distributed genetic algorithm for disaster relief planning,(Zidi et al. 2013),,0,0,0,0,0,0
